HardwareTimestamp,PythonTimestamp,ax,ay,az,gx,gy,gz,mx,my,mz,temp,press,alt,head,sat,lat,lon,gpsAlt
26642,26594.33057,1.276109457,-0.378283858,8.668207169,0.07087902,-0.000799387,-0.006661562,-7.799687862,1.474941015,4.183166027,29.79999924,99151,215.4883423,169.2916565,0,0,0,0
26682,26635.78979,1.223437071,-0.486022949,8.614337921,0.051160797,0.014655436,-0.005595712,-7.924683094,1.458274961,4.166500092,29.79999924,99151,216.0807648,169.5732574,0,0,0,0
26722,26675.00732,1.37427175,-0.098162271,8.807070732,0.092995405,0.002931087,-0.005595712,-7.808021069,1.474941015,4.04150486,29.79999924,99151,215.6577454,169.3028412,0,0,0,0
26762,26714.16235,1.29885447,-0.300472319,8.511386871,0.053026035,0.003730475,-0.007194487,-7.874684811,1.499940038,4.099835873,29.79999924,99151,215.8266449,169.2156982,0,0,0,0
26802,26755.9021,1.358709455,-0.553060591,8.70771122,0.027445635,0.003996937,-0.008260337,-7.874684811,1.416610003,3.999840021,29.79999924,99151,215.4883423,169.8019104,0,0,0,0
26842,26794.27905,1.15520227,-0.495599747,8.623914719,0.103120975,-0.000266462,-0.004796324,-7.83302021,1.349946022,4.016506195,29.79999924,99151,216.2501984,170.2216797,0,0,0,0
26882,26834.48413,1.340752959,-0.265756398,8.62511158,0.061019909,0.005329249,-0.007727412,-7.916349888,1.433276057,4.083169937,29.79999924,99151,215.8266449,169.7376251,0,0,0,0
26922,26874.43286,1.319205165,-0.33518824,8.646659851,0.063950993,0.004796324,-0.006928025,-7.891351223,1.458274961,4.083169937,29.79999924,99151,215.8266449,169.5301819,0,0,0,0
26962,26915.53052,1.304839969,-0.302866518,8.713697433,0.057022974,-0.002664625,-0.003730475,-7.83302021,1.591603041,4.124835014,29.79999924,99151,216.0807648,168.5143433,0,0,0,0
27042,26995.57471,1.243787766,-0.403422982,8.698134422,0.081271052,-0.001598775,-0.007194487,-7.924683094,1.516605973,4.124835014,29.79999924,99151,215.9113617,169.1658783,0,0,0,0
27082,27035.58667,1.325190663,-0.281318694,8.603564262,0.063950993,0.005062787,-0.010924961,-7.916349888,1.499940038,4.04150486,29.79999924,99151,216.589035,169.2711487,0,0,0,0
27122,27073.92871,1.303642869,-0.231040463,8.801085472,0.066082694,0.0063951,-0.005329249,-7.73302412,1.474941015,4.04150486,29.79999924,99151,215.7424622,169.2015228,0,0,0,0
27162,27115.15479,1.282094955,-0.37110126,8.598775864,0.056756508,0.000532925,-0.007727412,-7.799687862,1.591603041,4.058170795,29.79999924,99151,216.0807648,168.466568,0,0,0,0
27202,27154.08545,1.328781962,-0.537498295,8.741230011,0.065016843,0.008260337,-0.005862175,-7.73302412,1.433276057,4.058170795,29.79999924,99151,215.4883423,169.4996796,0,0,0,0
27242,27196.12915,1.292868972,-0.262165099,8.584410667,0.085534461,0.0042634,-0.005329249,-7.924683094,1.474941015,4.04150486,29.79999924,99151,216.0807648,169.4567413,0,0,0,0
27282,27234.04858,1.234210968,-0.40821138,8.615534782,0.041834611,0.009059724,-0.007727412,-7.808021069,1.39161098,4.058170795,29.79999924,99151,216.5043335,169.8943787,0,0,0,0
27322,27275.69946,1.312022567,-0.385466486,8.761581421,0.087399691,0.013589587,-0.008793262,-7.716358185,1.416610003,4.083169937,29.79999924,99151,215.9113617,169.5971832,0,0,0,0
27362,27314.14795,1.33955586,-0.343567938,8.599972725,0.043433387,-0.002931087,-0.009592649,-7.73302412,1.499940038,4.058170795,29.79999924,99151,215.6577454,169.0229034,0,0,0,0
27402,27355.29932,1.318008065,-0.414196908,8.699332237,0.069013782,0.011990812,-0.005595712,-7.916349888,1.474941015,4.016506195,29.79999924,99151,216.1654816,169.4459076,0,0,0,0
27442,27398.24146,1.258152962,-0.283712894,8.723274231,0.068747319,0.002398162,-0.007727412,-7.874684811,1.433276057,3.999840021,29.79999924,99151,215.5730438,169.6844788,0,0,0,0
27486,27478.21289,1.238999367,-0.37349546,8.62511158,0.067947932,-0.000532925,-0.006661562,-7.916349888,1.474941015,3.916510105,29.79999924,99157,216.0807648,169.4459076,0,0,0,0
27565,27518.07935,1.295263171,-0.44532153,8.694543839,0.063950993,0.003464012,-0.008526799,-7.924683094,1.499940038,3.999840021,29.79999924,99157,215.9113617,169.2821655,0,0,0,0
27605,27559.34546,1.259350061,-0.322020143,8.574832916,0.07194487,0.00319755,-0.006661562,-7.808021069,1.474941015,4.016506195,29.79999924,99157,215.9113617,169.3028412,0,0,0,0
27645,27596.90039,1.313219666,-0.429759204,8.680178642,0.057822358,0.003996937,-0.009059724,-7.808021069,1.433276057,4.124835014,29.79999924,99157,215.9960632,169.5983276,0,0,0,0
27685,27638.43042,1.274912357,-0.389057785,8.649053574,0.073543645,0.007460949,-0.006928025,-7.891351223,1.374945045,3.958174944,29.79999924,99157,216.0807648,170.1163177,0,0,0,0
27725,27678.85254,1.308431268,-0.389057785,8.672995567,0.058355279,0.003996937,-0.003730475,-7.916349888,1.416610003,4.058170795,29.79999924,99157,215.9113617,169.8544617,0,0,0,0
27765,27717.88599,1.303642869,-0.347159237,8.675390244,0.072477795,0.005062787,-0.006128637,-7.916349888,1.458274961,4.099835873,29.79999924,99157,216.5043335,169.5625153,0,0,0,0
27805,27758.21997,1.33955586,-0.301669419,8.633491516,0.060486984,0.001332312,-0.004796324,-7.83302021,1.499940038,4.083169937,29.79999924,99157,216.4196167,169.1596832,0,0,0,0
27845,27797.86279,1.291671872,-0.469263524,8.668207169,0.061019909,0.002664625,-0.010125575,-7.83302021,1.474941015,4.04150486,29.79999924,99157,215.8266449,169.3361969,0,0,0,0
27885,27840.92383,1.276109457,-0.396240383,8.646659851,0.069280244,0.002931087,-0.007993874,-7.916349888,1.374945045,4.04150486,29.79999924,99157,215.6577454,170.1469269,0,0,0,0
27925,27877.12549,1.280897856,-0.393846184,8.578424454,0.063950993,0,-0.007194487,-7.808021069,1.39161098,4.016506195,29.79999924,99157,216.0807648,169.8943787,0,0,0,0
27965,27918.03833,1.310825467,-0.348356336,8.639476776,0.063151613,0.004529862,-0.005062787,-7.716358185,1.416610003,4.099835873,29.79999924,99157,215.7424622,169.5971832,0,0,0,0
28005,27958.3938,1.244984865,-0.407014281,8.702922821,0.057022974,0.0021317,-0.006928025,-7.891351223,1.566604018,4.099835873,29.79999924,99157,215.5730438,168.7715454,0,0,0,0
28045,27998.36475,1.332373261,-0.397437483,8.616731644,0.069546707,0.002398162,-0.005329249,-7.916349888,1.39161098,3.974841118,29.79999924,99157,215.6577454,170.0298615,0,0,0,0
28085,28038.46436,1.267729759,-0.351947635,8.694543839,0.063950993,0.0063951,-0.006928025,-7.966348171,1.474941015,4.099835873,29.79999924,99157,215.8266449,169.5106659,0,0,0,0
28125,28077.89331,1.306037068,-0.362721562,8.668207169,0.060486984,0.002931087,-0.007460949,-7.916349888,1.474941015,3.974841118,29.79999924,99157,215.6577454,169.4459076,0,0,0,0
28165,28118.50659,1.271321058,-0.378283858,8.66940403,0.067947932,0.001332312,-0.008260337,-7.874684811,1.499940038,4.016506195,29.79999924,99157,214.8112335,169.2156982,0,0,0,0
28205,28163.38525,1.230619669,-0.439336002,8.570044518,0.063950993,0.006128637,-0.008526799,-7.808021069,1.433276057,4.016506195,29.79999924,99157,216.1654816,169.5983276,0,0,0,0
28245,28197.6582,1.277306557,-0.386663586,8.664615631,0.063684531,0.003464012,-0.004796324,-7.799687862,1.549937963,4.058170795,29.79999924,99157,215.7424622,168.7607117,0,0,0,0
28285,28238.13501,1.294066072,-0.29807812,8.61912632,0.067681469,0.004529862,-0.005329249,-7.874684811,1.499940038,4.058170795,29.79999924,99157,215.7424622,169.2156982,0,0,0,0
28325,28277.63623,1.271321058,-0.397437483,8.485051155,0.061019909,0.010392036,-0.011990812,-7.874684811,1.499940038,4.058170795,29.79999924,99157,215.9113617,169.2156982,0,0,0,0
28365,28358.45972,1.213860273,-0.444124401,8.608352661,0.067148544,0.022116385,-0.002398162,-7.924683094,1.433276057,4.083169937,29.79999924,99157,216.3348999,169.7481842,0,0,0,0
28405,28391.48682,1.37546885,-0.393846184,8.579621315,0.065283306,0.006928025,-0.007727412,-7.891351223,1.458274961,3.933176041,29.79999924,99157,216.3348999,169.5301819,0,0,0,0
28445,28401.92041,1.140837073,-0.314837515,8.683769226,0.075675346,0.015188362,-0.008793262,-7.891351223,1.433276057,4.016506195,29.79999924,99157,215.6577454,169.7058105,0,0,0,0
